date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:02	1580881/1580881	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-181f51%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/04_05_annualreport.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/04_05_annualreport/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:06	573399/573399	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-8bfd7%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/2001calswecar.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/2001calswecar/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:07	490158/490158	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-77aae%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/calswecar2000.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/calswecar2000/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:08	1954535/1954535	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-1dd2e7%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/03_04annualreport.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/03_04annualreport/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:08	1509016/1509016	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-170698%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/2003annualreport_0.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/2003annualreport_0/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:09	710009/710009	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-ad579%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/annualreport.pdf	./calswec-archive.berkeley.edu/sites/default/files/uploads/annualreport/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:10	100864/100864	---M--	200	added ('OK')	application/msword	etag:%22596dce6f-18a00%22	http://calswec-archive.berkeley.edu/files/uploads/mh_prelim_findings_county_wet_plans.doc	./calswec-archive.berkeley.edu/files/uploads/mh_prelim_findings_county_wet_plans/index.doc	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:10	662171/662171	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-a1a9b%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/Mental%2520Health/5-yearreport-final.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/Mental%20Health/5-yearreport-final/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:11	212177/212177	---M--	200	added ('OK')	application/pdf	etag:%22596dce6f-33cd1%22	http://calswec-archive.berkeley.edu/files/uploads/mh_stipendprogramreport_2009.pdf	./calswec-archive.berkeley.edu/files/uploads/mh_stipendprogramreport_2009/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:13	801460/801460	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-c3ab4%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/01Lahti_paper.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/01Lahti_paper/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:18	2137565/2137565	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-209ddd%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/ALL_2010_NHSTES_Proceedings.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/ALL_2010_NHSTES_Proceedings/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:20	1998384/1998384	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-1e7e30%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2009_NHSTES_Proceedings_All_FINAL.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2009_NHSTES_Proceedings_All_FINAL/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:32	1104616/1104616	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-10dae8%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2006_All_Proceedings_FINAL.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2006_All_Proceedings_FINAL/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:40	1691621/1691621	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-19cfe5%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2005_NHSTES_Proceedings.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2005_NHSTES_Proceedings/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:40	965961/965961	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-ebd49%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2004NHSTESProceedings.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2004NHSTESProceedings/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:04:56	7211169/7211169	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-6e08a1%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2008_NHSTES_Proceedings_FINAL.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2008_NHSTES_Proceedings_FINAL/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:09	4011295/4011295	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-3d351f%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2003Proceedings.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2003Proceedings/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:13	4298339/4298339	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-419663%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2002CompleteProceedings.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2002CompleteProceedings/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:13	278257/278257	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22596dce6f-43ef1%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/mhp_usc_internatlconf_6-13_.pptx	./calswec-archive.berkeley.edu/sites/default/files/uploads/mhp_usc_internatlconf_6-13_/index.pptx	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:16	9439046/9439046	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-900746%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2007_Proceedings_CalSWEC.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2007_Proceedings_CalSWEC/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:22	4059042/4059042	---M--	200	added ('OK')	application/pdf	etag:%22596dce70-3defa2%22	http://calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2001CompleteProceedings.pdf	./calswec-archive.berkeley.edu/files/uploads/pdf/CalSWEC/2001CompleteProceedings/index.pdf	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:26	286720/286720	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22596dce70-46000%22	http://calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/NHSTES_Jacquet_Benton_2009.ppt	./calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/NHSTES_Jacquet_Benton_2009/index.ppt	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:28	1586624/1586624	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22596dce6f-1835c0%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/mhp_cmhacy_2011.pptx	./calswec-archive.berkeley.edu/sites/default/files/uploads/mhp_cmhacy_2011/index.pptx	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:30	2463232/2463232	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22596dce6f-259600%22	http://calswec-archive.berkeley.edu/sites/default/files/uploads/mhp_narmh_conf_6-24_combined.ppt	./calswec-archive.berkeley.edu/sites/default/files/uploads/mhp_narmh_conf_6-24_combined/index.ppt	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:30	493568/493568	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22596dce70-78800%22	http://calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/SSWR_Clark_Smith_2009.ppt	./calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/SSWR_Clark_Smith_2009/index.ppt	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:33	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20May%202018%2015:05:32%20GMT	http://calswec-archive.berkeley.edu/node/142	./calswec-archive.berkeley.edu/node/142/index.html	(from http://calswec-archive.berkeley.edu/other-research-and-evaluation-resources)
12:05:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20May%202018%2015:05:33%20GMT	http://calswec-archive.berkeley.edu/node/994	./calswec-archive.berkeley.edu/node/994/index.html	(from http://calswec-archive.berkeley.edu/researchpractice-partnerships)
12:05:36	681472/681472	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22596dce70-a6600%22	http://calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/CSWE_Jacquet_Yao_2007.ppt	./calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/CSWE_Jacquet_Yao_2007/index.ppt	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:36	31182/31182	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20May%202018%2015:05:34%20GMT	http://calswec-archive.berkeley.edu/currently-funded-researchpractice-partnerships	./calswec-archive.berkeley.edu/currently-funded-researchpractice-partnerships/index.html	(from http://calswec-archive.berkeley.edu/researchpractice-partnerships)
12:05:38	1445888/1445888	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%22596dce70-161000%22	http://calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/CSWE_SmithClark_SkillsWkshop_2009.ppt	./calswec-archive.berkeley.edu/files/uploads/ppt/CalSWEC/CSWE_SmithClark_SkillsWkshop_2009/index.ppt	(from http://calswec-archive.berkeley.edu/publications-calswecs-evaluation-research)
12:05:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20May%202018%2015:05:36%20GMT	http://calswec-archive.berkeley.edu/node/136	./calswec-archive.berkeley.edu/node/136/index.html	(from http://calswec-archive.berkeley.edu/nhstec-national-human-services-training-evaluation-collaborative)
